"","Estimator","Rho_svy","fn_svy","fp_svy","Rho_sen","fn_sen","fp_sen","Theta","ThetaHat","SE","RB","CV","RRMSE","fn_sen_label","fp_sen_label"
"100","HUG_XGB",1,0.3,0,1,0.6,0.05,331839,406266.762129369,8099.11175978992,0.224288772957276,0.0244067507429504,0.225599614941361,"&#950;<sup>sen</sup>: 0.6","&#958;<sup>sen</sup>: 0.05"
"101","Survey",1,0.6,0,1,0.6,0.05,331839,133001.948051948,3401.12923744704,-0.599197357598269,0.0102493354833128,0.599284132729892,"&#950;<sup>sen</sup>: 0.6","&#958;<sup>sen</sup>: 0.05"
"102","LP",1,0.6,0,1,0.6,0.05,331839,403284.584814553,11179.989402819,0.215301953099404,0.0336910049837993,0.217895993508527,"&#950;<sup>sen</sup>: 0.6","&#958;<sup>sen</sup>: 0.05"
"103","HUG_GLM",1,0.6,0,1,0.6,0.05,331839,404360.630703683,10580.6560764681,0.218544627676924,0.031884908273193,0.220835312367111,"&#950;<sup>sen</sup>: 0.6","&#958;<sup>sen</sup>: 0.05"
"104","HUG_XGB",1,0.6,0,1,0.6,0.05,331839,409269.737457422,11245.8409088455,0.233338267826934,0.0338894491269726,0.235762077202807,"&#950;<sup>sen</sup>: 0.6","&#958;<sup>sen</sup>: 0.05"
"105","Survey",1,0.9,0,1,0.6,0.05,331839,33077.2727272727,1773.85709563723,-0.90032132230608,0.00534553532175914,0.900337032671302,"&#950;<sup>sen</sup>: 0.6","&#958;<sup>sen</sup>: 0.05"
"106","LP",1,0.9,0,1,0.6,0.05,331839,406592.853813449,20320.0408164273,0.225271453365785,0.0612346373284252,0.233365403824537,"&#950;<sup>sen</sup>: 0.6","&#958;<sup>sen</sup>: 0.05"
"107","HUG_GLM",1,0.9,0,1,0.6,0.05,331839,408576.536025486,20646.7573214817,0.231249298682451,0.0622192006409183,0.239392470182829,"&#950;<sup>sen</sup>: 0.6","&#958;<sup>sen</sup>: 0.05"
"108","HUG_XGB",1,0.9,0,1,0.6,0.05,331839,439155.029820942,25293.9265447825,0.323397882168588,0.0762234895379462,0.332171808474012,"&#950;<sup>sen</sup>: 0.6","&#958;<sup>sen</sup>: 0.05"
"109","Survey",1,0,0,1,0.9,0.05,331839,332193.506493506,6016.83878866008,0.00106830870845949,0.0181318012308984,0.0180725171798123,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0.05"
"110","LP",1,0,0,1,0.9,0.05,331839,628955.591183656,22582.2003007002,0.895363688968613,0.0680516765681557,0.897920294848258,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0.05"
"111","HUG_GLM",1,0,0,1,0.9,0.05,331839,638325.577636128,22860.1369179801,0.923600232751812,0.06888924122234,0.926140194689675,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0.05"
"112","HUG_XGB",1,0,0,1,0.9,0.05,331839,633580.213723988,26843.4518914501,0.909300033220893,0.080892998988817,0.912855295722201,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0.05"
"113","Survey",1,0.3,0,1,0.9,0.05,331839,232818.181818182,4531.55612095732,-0.298400182563888,0.0136558877074645,0.298709369438841,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0.05"
"114","LP",1,0.3,0,1,0.9,0.05,331839,622641.670667266,29805.0888066666,0.876336629110097,0.0898179201560596,0.880881645689928,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0.05"
"115","HUG_GLM",1,0.3,0,1,0.9,0.05,331839,622069.084248342,26827.6985000293,0.874611134460813,0.0808455259931151,0.878302496640652,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0.05"
"116","HUG_XGB",1,0.3,0,1,0.9,0.05,331839,638923.509375808,31303.7386785445,0.925402105767581,0.0943341158771106,0.930149984423591,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0.05"
"117","Survey",1,0.6,0,1,0.9,0.05,331839,133001.948051948,3401.12923744704,-0.599197357598269,0.0102493354833128,0.599284132729892,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0.05"
"118","LP",1,0.6,0,1,0.9,0.05,331839,625609.189236366,35202.837809411,0.885279274697566,0.106084088396514,0.891549600236498,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0.05"
"119","HUG_GLM",1,0.6,0,1,0.9,0.05,331839,632046.179399295,36332.5032297965,0.904677206112888,0.109488345944258,0.911212745838674,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0.05"
"120","HUG_XGB",1,0.6,0,1,0.9,0.05,331839,677513.893424519,50592.733406942,1.04169459715259,0.15246168595898,1.0526821712965,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0.05"
"121","Survey",1,0.9,0,1,0.9,0.05,331839,33077.2727272727,1773.85709563723,-0.90032132230608,0.00534553532175914,0.900337032671302,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0.05"
"122","LP",1,0.9,0,1,0.9,0.05,331839,641231.760200117,101500.41847713,0.932358041701297,0.305872481767153,0.980772100580176,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0.05"
"123","HUG_GLM",1,0.9,0,1,0.9,0.05,331839,675819.959961505,138371.304626543,1.03658991246208,0.416983249788429,1.11653702442697,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0.05"
"124","HUG_XGB",1,0.9,0,1,0.9,0.05,331839,951885.233460898,250958.30914382,1.86851525426758,0.75626526461272,2.01434034720694,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0.05"
"125","Survey",1,0,0,1,0,0.1,331839,332193.506493506,6016.83878866008,0.00106830870845949,0.0181318012308984,0.0180725171798123,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0.1"
